run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.5_ecm1_top_fitness_vc200_sl10_01,0.5,1,top_fitness,200,10,3999235960,500,1,,"{""2"": 162}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl40_01,0.5,0,top_fitness,200,40,1685195285,500,2,,"{""2"": 175, ""3"": 349}","{""2"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm1_top_fitness_vc200_sl20_00,1.0,1,top_fitness,200,20,3642930025,500,1,,"{""1"": 106}","{""1"": ""valley""}","{""2"": 20, ""4"": 20, ""3"": 20, ""0"": 20, ""1"": 20}"
s0.5_ecm1_top_fitness_vc200_sl20_01,0.5,1,top_fitness,200,20,1117715562,500,2,,"{""1"": 122, ""2"": 225}","{""1"": ""valley"", ""2"": ""in_situ""}","{""2"": 20, ""0"": 20, ""1"": 20, ""3"": 20, ""4"": 20}"
s1.0_ecm0_top_fitness_vc200_sl5_01,1.0,0,top_fitness,200,5,1219884930,500,1,,"{""2"": 263}","{""2"": ""valley""}","{""0"": 5, ""3"": 5, ""2"": 5, ""1"": 5, ""4"": 5}"
s1.0_ecm0_top_fitness_vc200_sl10_01,1.0,0,top_fitness,200,10,1452574005,500,1,,"{""1"": 372}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl40_01,0.5,1,top_fitness,200,40,1253889869,500,1,,"{""1"": 442}","{""1"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm1_top_fitness_vc200_sl5_01,1.0,1,top_fitness,200,5,618044450,500,0,,{},{},"{""2"": 5, ""4"": 5, ""3"": 5, ""1"": 5, ""0"": 5}"
s1.0_ecm0_top_fitness_vc200_sl20_01,1.0,0,top_fitness,200,20,1187313472,500,1,,"{""3"": 303}","{""3"": ""valley""}","{""2"": 20, ""0"": 20, ""4"": 20, ""1"": 20, ""3"": 20}"
s1.0_ecm1_top_fitness_vc200_sl40_00,1.0,1,top_fitness,200,40,2347313490,500,4,,"{""1"": 133, ""4"": 232, ""2"": 248, ""3"": 468}","{""1"": ""valley"", ""4"": ""in_situ"", ""2"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 40, ""4"": 40, ""0"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm0_top_fitness_vc200_sl40_01,1.0,0,top_fitness,200,40,1707416470,500,1,,"{""1"": 195}","{""1"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s0.5_ecm0_top_fitness_vc200_sl5_02,0.5,0,top_fitness,200,5,4059923779,500,1,,"{""2"": 168}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm1_top_fitness_vc200_sl10_01,1.0,1,top_fitness,200,10,2054898212,500,1,,"{""2"": 178}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_sl5_02,0.5,1,top_fitness,200,5,77732394,500,1,,"{""2"": 159}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm1_top_fitness_vc200_sl10_02,0.5,1,top_fitness,200,10,456617161,500,1,,"{""2"": 154}","{""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_sl10_02,0.5,0,top_fitness,200,10,3363640312,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_02,0.5,0,top_fitness,200,20,1133740808,500,2,,"{""2"": 176, ""4"": 362}","{""2"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm1_top_fitness_vc200_sl20_02,0.5,1,top_fitness,200,20,839338462,500,2,,"{""2"": 144, ""1"": 412}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 20, ""4"": 20, ""0"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_02,0.5,0,top_fitness,200,40,86388196,500,2,,"{""0"": 332, ""2"": 337}","{""0"": ""in_situ"", ""2"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm1_top_fitness_vc200_sl20_01,1.0,1,top_fitness,200,20,1983608757,500,1,,"{""1"": 97}","{""1"": ""valley""}","{""2"": 20, ""3"": 20, ""0"": 20, ""1"": 20, ""4"": 20}"
s1.0_ecm0_top_fitness_vc200_sl5_02,1.0,0,top_fitness,200,5,2282148739,500,1,,"{""2"": 253}","{""2"": ""valley""}","{""2"": 5, ""0"": 5, ""4"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm1_top_fitness_vc200_sl40_02,0.5,1,top_fitness,200,40,2541407389,500,3,,"{""1"": 134, ""2"": 342, ""0"": 434}","{""1"": ""valley"", ""2"": ""in_situ"", ""0"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm0_top_fitness_vc200_sl10_02,1.0,0,top_fitness,200,10,31739773,500,1,,"{""1"": 221}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc200_sl20_02,1.0,0,top_fitness,200,20,2749219388,500,1,,"{""3"": 343}","{""3"": ""valley""}","{""2"": 20, ""1"": 20, ""3"": 20, ""4"": 20, ""0"": 20}"
s1.0_ecm0_top_fitness_vc200_sl40_02,1.0,0,top_fitness,200,40,3565525269,500,3,,"{""2"": 267, ""3"": 356, ""4"": 391}","{""2"": ""in_situ"", ""3"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm1_top_fitness_vc200_sl40_01,1.0,1,top_fitness,200,40,1686241321,500,3,,"{""1"": 125, ""2"": 261, ""3"": 479}","{""1"": ""valley"", ""2"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 40, ""4"": 40, ""0"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm1_top_fitness_vc200_sl5_02,1.0,1,top_fitness,200,5,776830713,500,1,,"{""1"": 422}","{""1"": ""valley""}","{""2"": 5, ""0"": 5, ""4"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm1_top_fitness_vc200_sl10_02,1.0,1,top_fitness,200,10,2630884489,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_sl5_03,0.5,1,top_fitness,200,5,3121183597,500,1,,"{""1"": 360}","{""1"": ""in_situ""}","{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm0_top_fitness_vc200_sl5_03,0.5,0,top_fitness,200,5,838456717,500,1,,"{""2"": 165}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm1_top_fitness_vc200_sl10_03,0.5,1,top_fitness,200,10,3795121732,500,1,,"{""3"": 300}","{""3"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_sl10_03,0.5,0,top_fitness,200,10,3746591540,500,2,,"{""2"": 169, ""1"": 380}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_03,0.5,0,top_fitness,200,20,2515008217,500,1,,"{""3"": 445}","{""3"": ""valley""}","{""2"": 20, ""0"": 20, ""4"": 20, ""1"": 20, ""3"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_03,0.5,0,top_fitness,200,40,1252601034,500,3,,"{""1"": 200, ""0"": 329, ""4"": 384}","{""1"": ""valley"", ""0"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""1"": 40, ""3"": 40, ""0"": 40, ""4"": 40}"
s0.5_ecm1_top_fitness_vc200_sl20_03,0.5,1,top_fitness,200,20,4166835254,500,1,,"{""2"": 237}","{""2"": ""in_situ""}","{""2"": 20, ""0"": 20, ""1"": 20, ""3"": 20, ""4"": 20}"
s1.0_ecm1_top_fitness_vc200_sl20_02,1.0,1,top_fitness,200,20,4032484899,500,2,,"{""1"": 159, ""3"": 346}","{""1"": ""valley"", ""3"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s1.0_ecm0_top_fitness_vc200_sl5_03,1.0,0,top_fitness,200,5,479668755,500,1,,"{""2"": 249}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm1_top_fitness_vc200_sl40_03,0.5,1,top_fitness,200,40,1151619842,500,1,,"{""2"": 134}","{""2"": ""in_situ""}","{""2"": 40, ""1"": 40, ""3"": 40, ""0"": 40, ""4"": 40}"
s1.0_ecm0_top_fitness_vc200_sl10_03,1.0,0,top_fitness,200,10,1859246334,500,0,,{},{},"{""2"": 10, ""3"": 10, ""4"": 10, ""1"": 10, ""0"": 10}"
s1.0_ecm1_top_fitness_vc200_sl5_03,1.0,1,top_fitness,200,5,1199163448,500,1,,"{""2"": 181}","{""2"": ""valley""}","{""2"": 5, ""0"": 5, ""4"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm0_top_fitness_vc200_sl20_03,1.0,0,top_fitness,200,20,2294874062,500,0,,{},{},"{""2"": 20, ""4"": 20, ""0"": 20, ""3"": 20, ""1"": 20}"
s1.0_ecm0_top_fitness_vc200_sl40_03,1.0,0,top_fitness,200,40,3178339847,500,3,,"{""1"": 166, ""2"": 329, ""4"": 362}","{""1"": ""in_situ"", ""2"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm1_top_fitness_vc200_sl40_02,1.0,1,top_fitness,200,40,1444102623,500,3,,"{""1"": 138, ""3"": 248, ""0"": 286}","{""1"": ""valley"", ""3"": ""in_situ"", ""0"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s0.5_ecm1_top_fitness_vc200_sl5_04,0.5,1,top_fitness,200,5,3640545570,500,1,,"{""2"": 173}","{""2"": ""in_situ""}","{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm0_top_fitness_vc200_sl5_04,0.5,0,top_fitness,200,5,2347011978,500,1,,"{""2"": 153}","{""2"": ""in_situ""}","{""2"": 5, ""4"": 5, ""3"": 5, ""0"": 5, ""1"": 5}"
s1.0_ecm1_top_fitness_vc200_sl10_03,1.0,1,top_fitness,200,10,3347769623,500,1,,"{""1"": 123}","{""1"": ""valley""}","{""2"": 10, ""3"": 10, ""0"": 10, ""4"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl10_04,0.5,1,top_fitness,200,10,4124115284,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl10_04,0.5,0,top_fitness,200,10,597154218,500,1,,"{""2"": 140}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_04,0.5,0,top_fitness,200,20,2561714738,500,2,,"{""2"": 173, ""3"": 478}","{""2"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm1_top_fitness_vc200_sl20_04,0.5,1,top_fitness,200,20,566769370,500,2,,"{""1"": 272, ""0"": 450}","{""1"": ""valley"", ""0"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""1"": 20, ""3"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_04,0.5,0,top_fitness,200,40,3868254502,500,3,,"{""2"": 140, ""0"": 351, ""4"": 397}","{""2"": ""valley"", ""0"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""4"": 40, ""0"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm1_top_fitness_vc200_sl20_03,1.0,1,top_fitness,200,20,2014812221,500,2,,"{""1"": 202, ""3"": 311}","{""1"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 20, ""4"": 20, ""0"": 20, ""1"": 20, ""3"": 20}"
s1.0_ecm0_top_fitness_vc200_sl5_04,1.0,0,top_fitness,200,5,2440426919,500,1,,"{""2"": 259}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s1.0_ecm0_top_fitness_vc200_sl10_04,1.0,0,top_fitness,200,10,1185278457,500,0,,{},{},"{""0"": 10, ""4"": 10, ""2"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_sl40_04,0.5,1,top_fitness,200,40,3264786718,500,1,,"{""1"": 157}","{""1"": ""valley""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm1_top_fitness_vc200_sl40_03,1.0,1,top_fitness,200,40,2208871353,500,3,,"{""1"": 113, ""3"": 319, ""0"": 430}","{""1"": ""valley"", ""3"": ""in_situ"", ""0"": ""in_situ""}","{""2"": 40, ""3"": 40, ""1"": 40, ""4"": 40, ""0"": 40}"
s1.0_ecm0_top_fitness_vc200_sl20_04,1.0,0,top_fitness,200,20,3126808191,500,1,,"{""3"": 329}","{""3"": ""in_situ""}","{""2"": 20, ""0"": 20, ""1"": 20, ""3"": 20, ""4"": 20}"
s1.0_ecm0_top_fitness_vc200_sl40_04,1.0,0,top_fitness,200,40,634704668,500,2,,"{""1"": 199, ""2"": 315}","{""1"": ""valley"", ""2"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm1_top_fitness_vc200_sl5_04,1.0,1,top_fitness,200,5,462800741,500,1,,"{""1"": 309}","{""1"": ""in_situ""}","{""2"": 5, ""0"": 5, ""4"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm1_top_fitness_vc200_sl5_05,0.5,1,top_fitness,200,5,895911299,500,0,,{},{},"{""0"": 5, ""2"": 5, ""4"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm1_top_fitness_vc200_sl10_04,1.0,1,top_fitness,200,10,791103370,500,1,,"{""1"": 264}","{""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_sl5_05,0.5,0,top_fitness,200,5,3180473252,500,1,,"{""2"": 214}","{""2"": ""valley""}","{""2"": 5, ""0"": 5, ""4"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm0_top_fitness_vc200_sl10_05,0.5,0,top_fitness,200,10,2840003069,500,1,,"{""2"": 199}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_sl10_05,0.5,1,top_fitness,200,10,2683555097,500,1,,"{""2"": 142}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_05,0.5,0,top_fitness,200,20,1772482165,500,0,,{},{},"{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm1_top_fitness_vc200_sl20_05,0.5,1,top_fitness,200,20,205543262,500,2,,"{""2"": 139, ""1"": 282}","{""2"": ""in_situ"", ""1"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_05,0.5,0,top_fitness,200,40,2582728101,500,1,,"{""2"": 191}","{""2"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm1_top_fitness_vc200_sl20_04,1.0,1,top_fitness,200,20,1801914509,500,3,,"{""3"": 335, ""1"": 386, ""4"": 473}","{""3"": ""in_situ"", ""1"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""1"": 20, ""3"": 20}"
s1.0_ecm0_top_fitness_vc200_sl5_05,1.0,0,top_fitness,200,5,3351383118,500,1,,"{""2"": 210}","{""2"": ""valley""}","{""2"": 5, ""0"": 5, ""4"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm0_top_fitness_vc200_sl10_05,1.0,0,top_fitness,200,10,2568755484,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_sl40_05,0.5,1,top_fitness,200,40,3290029140,500,2,,"{""1"": 132, ""3"": 342}","{""1"": ""valley"", ""3"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm0_top_fitness_vc200_sl20_05,1.0,0,top_fitness,200,20,2646364771,500,2,,"{""2"": 259, ""3"": 386}","{""2"": ""valley"", ""3"": ""in_situ""}","{""2"": 20, ""4"": 20, ""1"": 20, ""3"": 20, ""0"": 20}"
s1.0_ecm1_top_fitness_vc200_sl5_05,1.0,1,top_fitness,200,5,365755727,500,0,,{},{},"{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm0_top_fitness_vc200_sl40_05,1.0,0,top_fitness,200,40,3423484471,500,1,,"{""1"": 146}","{""1"": ""valley""}","{""2"": 40, ""4"": 40, ""3"": 40, ""1"": 40, ""0"": 40}"
s1.0_ecm1_top_fitness_vc200_sl10_05,1.0,1,top_fitness,200,10,3803136540,500,1,,"{""2"": 194}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl5_06,0.5,1,top_fitness,200,5,342566153,500,0,,{},{},"{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s1.0_ecm1_top_fitness_vc200_sl40_04,1.0,1,top_fitness,200,40,3722436768,500,3,,"{""1"": 140, ""0"": 244, ""4"": 387}","{""1"": ""valley"", ""0"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s0.5_ecm0_top_fitness_vc200_sl5_06,0.5,0,top_fitness,200,5,3078917586,500,1,,"{""2"": 183}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm0_top_fitness_vc200_sl10_06,0.5,0,top_fitness,200,10,3437059578,500,1,,"{""4"": 402}","{""4"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl10_06,0.5,1,top_fitness,200,10,2436021044,500,2,,"{""1"": 360, ""3"": 488}","{""1"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_06,0.5,0,top_fitness,200,20,618573742,500,0,,{},{},"{""2"": 20, ""4"": 20, ""0"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_06,0.5,0,top_fitness,200,40,2939448564,500,1,,"{""1"": 151}","{""1"": ""valley""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s0.5_ecm1_top_fitness_vc200_sl20_06,0.5,1,top_fitness,200,20,166396428,500,1,,"{""1"": 287}","{""1"": ""in_situ""}","{""2"": 20, ""4"": 20, ""0"": 20, ""1"": 20, ""3"": 20}"
s1.0_ecm1_top_fitness_vc200_sl20_05,1.0,1,top_fitness,200,20,1226005479,500,2,,"{""1"": 122, ""3"": 220}","{""1"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 20, ""4"": 20, ""0"": 20, ""1"": 20, ""3"": 20}"
s0.5_ecm1_top_fitness_vc200_sl40_06,0.5,1,top_fitness,200,40,3874063326,500,3,,"{""1"": 121, ""2"": 205, ""4"": 403}","{""1"": ""valley"", ""2"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm0_top_fitness_vc200_sl5_06,1.0,0,top_fitness,200,5,3344828048,500,1,,"{""2"": 271}","{""2"": ""valley""}","{""2"": 5, ""0"": 5, ""4"": 5, ""3"": 5, ""1"": 5}"
s1.0_ecm0_top_fitness_vc200_sl10_06,1.0,0,top_fitness,200,10,393423154,500,1,,"{""2"": 236}","{""2"": ""in_situ""}","{""2"": 10, ""1"": 10, ""4"": 10, ""3"": 10, ""0"": 10}"
s1.0_ecm0_top_fitness_vc200_sl20_06,1.0,0,top_fitness,200,20,1227749459,500,1,,"{""4"": 485}","{""4"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""1"": 20, ""3"": 20}"
s1.0_ecm1_top_fitness_vc200_sl5_06,1.0,1,top_fitness,200,5,4199707572,500,1,,"{""2"": 284}","{""2"": ""valley""}","{""2"": 5, ""0"": 5, ""4"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm0_top_fitness_vc200_sl40_06,1.0,0,top_fitness,200,40,479647199,500,2,,"{""3"": 269, ""2"": 406}","{""3"": ""valley"", ""2"": ""in_situ""}","{""2"": 40, ""4"": 40, ""0"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm1_top_fitness_vc200_sl40_05,1.0,1,top_fitness,200,40,574337035,500,2,,"{""1"": 126, ""0"": 446}","{""1"": ""valley"", ""0"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s0.5_ecm1_top_fitness_vc200_sl5_07,0.5,1,top_fitness,200,5,2858088441,500,1,,"{""1"": 447}","{""1"": ""in_situ""}","{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm0_top_fitness_vc200_sl5_07,0.5,0,top_fitness,200,5,144467746,500,1,,"{""2"": 197}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm1_top_fitness_vc200_sl10_07,0.5,1,top_fitness,200,10,2847260397,500,1,,"{""1"": 224}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_sl10_07,0.5,0,top_fitness,200,10,1455119870,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
